nombres_productos,categorias,precios,imagenes,url
Vino Casillero del Diablo Cabernet Sauvignon 375 ml X Unidad x 375 ml ,BEBIDAS Y LICORES,$ 37.000                          ,https://hipermarfish.com/public/images/productos/EGOJ123020220851_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Casillero del Diablo Sauvignon Blanc (Chile) 750 X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/QQMB122920221112_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Casillero del Diablo Sauvignon Blanc (Chile) 375 X Unidad x 375 ml ,BEBIDAS Y LICORES,$ 37.000                          ,https://hipermarfish.com/public/images/productos/KQDI071620220358_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Santa Rita Cabernet Sauvignon 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/NHPT123020220932_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Santa Rita Cabernet Sauvignon 375 ml X Unidad x 375 ml ,BEBIDAS Y LICORES,$ 37.000                          ,https://hipermarfish.com/public/images/productos/JXOS123020220842_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Santa Rita 120 Sauvignon blanc (Chile) 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/YTUN123020220926_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Santa Rita 120 Sauvignon blanc 375 ml X Unidad x 375 ml ,BEBIDAS Y LICORES,$ 37.000                          ,https://hipermarfish.com/public/images/productos/ONAC052020230248_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Undurraga Sauvignon 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/FXWN123020220906_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Undurraga Cabernet Sauvignon 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/GRCZ123020220918_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Undurraga Cabernet Sauvignon de 375 ml X Unidad x 375 ml ,BEBIDAS Y LICORES,$ 37.000                          ,https://hipermarfish.com/public/images/productos/IKXF123020220916_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Undurraga Chardonnay Blanco 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 54.000                          ,https://hipermarfish.com/public/images/productos/ITTS020120210457_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Undurraga Riesling Blanco750 ml X Botella x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/WMMX123020220828_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
